member_number,name_kanji,name_furigana,email,email_verified_at,remember_token,password,birthdate,gender,office_name,postal_code,prefecture,address1,address2,tel1,tel2,tel3,owned_qualifications,certified_accountant_number,tax_accountant_number,advisory_experience_years,other_specialized_field,experience,is_partner,is_release_working_status
XXX140,前田今日子,マエダキョウコ,okanou@example.com,2021/12/13 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU31,2019/6/19,1,株式会社XXX,1001029,23,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP31級""}]",22251,11140,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX141,井上徹也,イノウエテツヤ,akemi.sakamoto@example.net,2021/12/14 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU32,2019/6/20,1,株式会社XXX,1001030,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP32級""}]",22252,11141,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX142,曽根雄太,ソネユウタ,nakamura.naoko@example.org,2021/12/15 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU33,2019/6/21,1,株式会社XXX,1001031,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP33級""}]",22253,11142,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX143,堀切厚,ホリキリアツシ,manabu26@example.net,2021/12/16 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU34,2019/6/22,2,株式会社XXX,1001032,7,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP34級""}]",22254,11143,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX144,片岡真理,カタオカマリ,mai.ishida@example.com,2021/12/17 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU35,2019/6/23,1,株式会社XXX,1001033,7,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP35級""}]",22255,11144,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX145,谷川千恵,タニガワチエ,okijima@example.net,2021/12/18 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU36,2019/6/24,1,株式会社XXX,1001034,8,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP36級""}]",22256,11145,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX146,五島真由美,ゴシママユミ,hiroshi.kudo@example.net,2021/12/19 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU37,2019/6/25,2,株式会社XXX,1001035,9,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP37級""}]",22257,11146,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX147,谷川裕子,タニガワユウコ,nanami.tanabe@example.net,2021/12/20 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU38,2019/6/26,1,株式会社XXX,1001036,45,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP38級""}]",22258,11147,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX148,中村隆太,ナカムラリュウタ,kimura.mitsuru@example.net,2021/12/21 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU39,2019/6/27,2,株式会社XXX,1001037,1,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP39級""}]",22259,11148,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX149,栗原太一郎,クリハラタイチロウ,kimura.asuka@example.org,2021/12/22 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU40,2019/6/28,1,株式会社XXX,1001038,6,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP40級""}]",22260,11149,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX150,岩澤健,イワサワケン,yamagishi.osamu@example.com,2021/12/23 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU41,2019/6/29,1,株式会社XXX,1001039,1,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP41級""}]",22261,11150,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX151,近藤健人,コンドウケント,wmurayama@example.com,2021/12/24 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU42,2019/6/30,2,株式会社XXX,1001040,8,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP42級""}]",22262,11151,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX152,福永悦子,フクナガエツコ,youichi14@example.org,2021/12/25 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU43,2019/7/1,1,株式会社XXX,1001041,9,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP43級""}]",22263,11152,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX153,前田祥子,マエダショウコ,nagisa.shuhei@example.net,2021/12/26 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU44,2019/7/2,2,株式会社XXX,1001042,9,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP44級""}]",22264,11153,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX154,松尾茉莉江,マツオマリエ,taichi63@example.net,2021/12/27 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU45,2019/7/3,1,株式会社XXX,1001043,7,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP45級""}]",22265,11154,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX155,栗山悠里,クリヤマユウリ,momoko.nakajima@example.org,2021/12/28 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU46,2019/7/4,1,株式会社XXX,1001044,7,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP46級""}]",22266,11155,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX156,古川俊二,フルカワシュンジ,mkato@example.net,2021/12/29 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU47,2019/7/5,1,株式会社XXX,1001045,6,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP47級""}]",22267,11156,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX157,大濱真紀,オオハママキ,rei.yoshida@example.net,2021/12/30 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU48,2019/7/6,1,株式会社XXX,1001046,6,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP48級""}]",22268,11157,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX158,露木ひとみ,ツユキヒトミ,rei.nomura@example.org,2021/12/31 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU49,2019/7/7,1,株式会社XXX,1001047,1,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP49級""}]",22269,11158,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX159,竹内清治,タケウチセイジ,tishida@example.org,2022/1/1 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU50,2019/7/8,2,株式会社XXX,1001048,46,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP50級""}]",22270,11159,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX160,麻野正和,アサノマサカズ,ekoda.hiroshi@example.org,2022/1/2 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU51,2019/7/9,1,株式会社XXX,1001049,1,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP51級""}]",22271,11160,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX161,加納華恵,カノウハナエ,sato.satomi@example.org,2022/1/3 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU52,2019/7/10,1,株式会社XXX,1001050,9,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP52級""}]",22272,11161,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX162,小川潤,オガワジユン,nanami.aota@example.com,2022/1/4 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU53,2019/7/11,1,株式会社XXX,1001051,5,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP53級""}]",22273,11162,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX163,粂川淳子,クメカワジュンコ,mikako35@example.com,2022/1/5 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU54,2019/7/12,1,株式会社XXX,1001052,37,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP54級""}]",22274,11163,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX164,澤田優介,サワダユウスケ,sayuri53@example.org,2022/1/6 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU55,2019/7/13,1,株式会社XXX,1001053,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP55級""}]",22275,11164,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX165,藤盛泰裕,フジモリヤスヒロ,snagisa@example.org,2022/1/7 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU56,2019/7/14,2,株式会社XXX,1001054,5,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP56級""}]",22276,11165,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX166,戸田一也,トダカズヤ,yamamoto.maaya@example.net,2022/1/8 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU57,2019/7/15,1,株式会社XXX,1001055,36,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP57級""}]",22277,11166,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX167,今井裕子,イマイユウコ,yoko96@example.net,2022/1/9 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU58,2019/7/16,1,株式会社XXX,1001056,3,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP58級""}]",22278,11167,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX168,長岡彰吾,ナガオカショウゴ,gtanaka@example.org,2022/1/10 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU59,2019/7/17,1,株式会社XXX,1001057,5,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP59級""}]",22279,11168,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
